FlightNumber,TravelDate,FlightType,Airline,AirlineCode,OriginCode,DestinationCode,EquipmentName,Aircraft type ICAO,MTOW,Seats,Passengers,CargoMass,CheckedBaggageMass,O_Lat,O_Lon,D_Lat,D_Lon,Distance_km
SN12527,3/7/2018,P,Brussels Airlines,SN,BRU,LEI,319 (A319),A319,75500,141,,,,50.90140152,4.48443985,36.84389877,-2.370100021,1655.094819
SN12534,3/7/2018,P,Brussels Airlines,SN,BRU,LHR,319 (A319),A319,75500,141,,,,50.90140152,4.48443985,51.4706,-0.461941,350.4345882
SN12560,1/7/2018,P,Brussels Airlines,SN,BRU,ACE,320 (A320),A320,77000,180,,,,50.90140152,4.48443985,28.945499,-13.6052,2870.658884
SN12582,1/7/2018,P,Brussels Airlines,SN,BRU,AGA,320 (A320),A320,77000,180,,,,50.90140152,4.48443985,30.32500076,-9.413069725,2561.32519
SN12594,1/7/2018,P,Brussels Airlines,SN,BRU,AGP,320 (A320),A320,77000,180,,,,50.90140152,4.48443985,36.67490005,-4.499110222,1735.48056
SN12665,1/7/2018,P,Brussels Airlines,SN,BRU,ALC,320 (A320),A320,77000,180,,,,50.90140152,4.48443985,38.28219986,-0.558156013,1458.012817
SN12676,1/7/2018,P,Brussels Airlines,SN,BRU,AYT,320 (A320),A320,77000,180,,,,50.90140152,4.48443985,36.898701,30.800501,2597.763037
SN12685,1/7/2018,P,Brussels Airlines,SN,BRU,BCN,320 (A320),A320,77000,180,,,,50.90140152,4.48443985,41.2971,2.07846,1083.782962
SN13952,1/7/2018,P,Brussels Airlines,SN,BRU,GRO,320 (A320),A320,77000,180,,,,50.90140152,4.48443985,41.90100098,2.760550022,1009.413937
SN13954,1/7/2018,P,Brussels Airlines,SN,BRU,GVA,320 (A320),A320,77000,180,,,,50.90140152,4.48443985,46.23809814,6.108950138,532.0973956
SN13988,2/7/2018,P,Brussels Airlines,SN,BRU,HAM,320 (A320),A320,77000,180,,,,50.90140152,4.48443985,53.63040161,9.988229752,481.8037711
SN13989,2/7/2018,P,Brussels Airlines,SN,BRU,HER,320 (A320),A320,77000,180,,,,50.90140152,4.48443985,35.33969879,25.18029976,2395.434754
SN14036,2/7/2018,P,Brussels Airlines,SN,BRU,HRG,320 (A320),A320,77000,180,,,,50.90140152,4.48443985,27.17830086,33.79940033,3610.692975
